algorithm,base_estimator,learning_rate,n_estimators,mean_test_score,std_test_score,rank_test_score
SAMME,DecisionTreeClassifier(max_depth=50),0.1,5,0.5857142857142857,0.10921280896361635,47
SAMME,DecisionTreeClassifier(max_depth=50),0.1,10,0.580952380952381,0.1027953959282043,48
SAMME,DecisionTreeClassifier(max_depth=50),0.1,50,0.6,0.12544704640304277,37
SAMME,DecisionTreeClassifier(max_depth=50),0.1,100,0.6047619047619047,0.12380952380952381,31
SAMME,DecisionTreeClassifier(max_depth=50),0.5,5,0.5952380952380952,0.10962728031639371,41
SAMME,DecisionTreeClassifier(max_depth=50),0.5,10,0.5952380952380952,0.10101525445522108,41
SAMME,DecisionTreeClassifier(max_depth=50),0.5,50,0.6095238095238095,0.11722412976277305,23
SAMME,DecisionTreeClassifier(max_depth=50),0.5,100,0.6047619047619047,0.1027953959282043,31
SAMME,DecisionTreeClassifier(max_depth=50),1.0,5,0.6142857142857143,0.0920908552657796,20
SAMME,DecisionTreeClassifier(max_depth=50),1.0,10,0.6285714285714286,0.10389249632986396,12
SAMME,DecisionTreeClassifier(max_depth=50),1.0,50,0.6238095238095238,0.10257456775494293,14
SAMME,DecisionTreeClassifier(max_depth=50),1.0,100,0.6238095238095238,0.10257456775494293,14
SAMME,LogisticRegression(random_state=1997),0.1,5,0.6142857142857142,0.06801360408136047,21
SAMME,LogisticRegression(random_state=1997),0.1,10,0.6238095238095237,0.06632565846278152,17
SAMME,LogisticRegression(random_state=1997),0.1,50,0.6095238095238095,0.061352851079643445,23
SAMME,LogisticRegression(random_state=1997),0.1,100,0.6095238095238095,0.061352851079643445,23
SAMME,LogisticRegression(random_state=1997),0.5,5,0.6,0.01781741612749498,37
SAMME,LogisticRegression(random_state=1997),0.5,10,0.6285714285714286,0.06834619092574915,12
SAMME,LogisticRegression(random_state=1997),0.5,50,0.6380952380952382,0.0663256584627815,9
SAMME,LogisticRegression(random_state=1997),0.5,100,0.6380952380952382,0.0663256584627815,9
SAMME,LogisticRegression(random_state=1997),1.0,5,0.6095238095238095,0.04416008807378908,23
SAMME,LogisticRegression(random_state=1997),1.0,10,0.6095238095238095,0.04665694748158433,23
SAMME,LogisticRegression(random_state=1997),1.0,50,0.619047619047619,0.052164053095730085,18
SAMME,LogisticRegression(random_state=1997),1.0,100,0.619047619047619,0.052164053095730085,18
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,5,0.6047619047619047,0.09828460685976331,31
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,10,0.6047619047619047,0.09712418121129116,31
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,50,0.6095238095238095,0.09355658430661191,23
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,100,0.5904761904761905,0.10476190476190478,45
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,5,0.6238095238095238,0.12362623795949687,14
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,10,0.5952380952380952,0.10962728031639371,41
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,50,0.5952380952380952,0.11566626477610589,41
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,100,0.6,0.12362623795949684,37
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,5,0.6,0.10257456775494295,37
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,10,0.5904761904761904,0.10690449676496974,46
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,50,0.6095238095238095,0.13434986647300842,23
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,100,0.6095238095238095,0.13434986647300842,23
SAMME.R,LogisticRegression(random_state=1997),0.1,5,0.6047619047619047,0.06317380553057905,31
SAMME.R,LogisticRegression(random_state=1997),0.1,10,0.6047619047619047,0.06135285107964344,31
SAMME.R,LogisticRegression(random_state=1997),0.1,50,0.6380952380952382,0.06801360408136047,9
SAMME.R,LogisticRegression(random_state=1997),0.1,100,0.6571428571428571,0.07468755781599103,5
SAMME.R,LogisticRegression(random_state=1997),0.5,5,0.6142857142857142,0.07284313590846835,21
SAMME.R,LogisticRegression(random_state=1997),0.5,10,0.6476190476190476,0.05714285714285716,7
SAMME.R,LogisticRegression(random_state=1997),0.5,50,0.6714285714285715,0.060982135594598544,1
SAMME.R,LogisticRegression(random_state=1997),0.5,100,0.6619047619047619,0.07882354932022308,4
SAMME.R,LogisticRegression(random_state=1997),1.0,5,0.6476190476190476,0.06098213559459858,7
SAMME.R,LogisticRegression(random_state=1997),1.0,10,0.6666666666666666,0.0656383273909058,3
SAMME.R,LogisticRegression(random_state=1997),1.0,50,0.6666666666666667,0.07063046178186345,2
SAMME.R,LogisticRegression(random_state=1997),1.0,100,0.6523809523809524,0.07766431633476231,6
